Country,City,Zipcode,Weight,Text
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$32.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$53.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$65.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$90.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$32.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$53.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$65.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$90.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$43.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$65.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$79.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$110.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$71.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$89.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$102.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$109.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$63.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$79.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$89.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$109.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$95.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$117.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$125.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$137.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"Aramex
8-15 days
$135.00
Delivery to your door by Aramex local office in your country. Aramex is a fast and reliable option.
It requires all duties to be paid in advance.
 Estimated delivery time
8-15 days
 Maximum weight
272.2 kg (600.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
Daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Economy
⚡ 3-10 days
$154.00
Cost-effective delivery to your door. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 3-10 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <330 cm (130 in) max length - 274 cm (108 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"DHL Express Worldwide
2-12 days
$191.00
Express delivery to your door by DHL. DHL is present in over 220 countries and territories across the globe, making it the most international company in the world.
 Estimated delivery time
2-12 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
No restrictions
 Tracking
  Frequency of departure
daily
 Insurance
$3 for every $100"
Saudi Arabia,RIYADH,11526,1,"FedEx International Priority
⚡ 2-7 days
$194.00
Our fastest method, provided there are no delays in customs. Tracking information is typically updated daily and is very accurate. Package is handled by a private courier for the entire trip so this method is very secure. Full customs descriptions are typically required for most countries.
 Estimated delivery time
⚡ 2-7 days
 Maximum weight
68.1 kg (150.0 lb)
 Dimensional weight
Applicable
 Maximum Size
(girth + length) <91 cm (36 in) max length - (24 in)
 Tracking
  Frequency of departure
Daily, on weekdays
 Insurance
$3 for every $100"
