From,To Country,To City,Postal Code,Weight (lbs),Length,Width,Height,Value (USD),Shipping Method,Estimated Delivery,Price,Currency,Insurance Text,Insurance Amount
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,21.02 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Planet Mail: Express,20-28 business days,25.77 USD,USD,+ Insurance 3.27 USD,3.27
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,38.33 USD,USD,+ Insurance 3.42 USD,3.42
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,DHL: Express Worldwide,1-6 business days,54.83 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,USPS: Express,10-14 business days,59.66 USD,USD,+ Insurance 3.69 USD,3.69
"Torrance, CA",Saudi Arabia,RIYADH,11526,1,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,94.02 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,33.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Planet Mail: Express,20-28 business days,49.21 USD,USD,+ Insurance 3.53 USD,3.53
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,58.36 USD,USD,+ Insurance 3.64 USD,3.64
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,DHL: Express Worldwide,1-6 business days,61.51 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,USPS: Express,10-14 business days,65.12 USD,USD,+ Insurance 3.75 USD,3.75
"Torrance, CA",Saudi Arabia,RIYADH,11526,2,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,121.19 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,33.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,64.46 USD,USD,+ Insurance 3.71 USD,3.71
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,DHL: Express Worldwide,1-6 business days,67.58 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Planet Mail: Express,20-28 business days,68.71 USD,USD,+ Insurance 3.74 USD,3.74
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,USPS: Express,10-14 business days,70.6 USD,USD,+ Insurance 3.81 USD,3.81
"Torrance, CA",Saudi Arabia,RIYADH,11526,3,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,121.19 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,40.16 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Postal Office: Fully Tracked,10-14 business days,70.55 USD,USD,+ Insurance 3.77 USD,3.77
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,DHL: Express Worldwide,1-6 business days,74.29 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Planet Mail: Express,20-28 business days,75.16 USD,USD,+ Insurance 3.81 USD,3.81
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,USPS: Express,10-14 business days,76.08 USD,USD,+ Insurance 3.87 USD,3.87
"Torrance, CA",Saudi Arabia,RIYADH,11526,4,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,134.78 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,52.42 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,USPS: Priority,10-14 business days,69.53 USD,USD,+ Insurance 3.79 USD,3.79
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,DHL: Express Worldwide,1-6 business days,80.53 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,USPS: Express,10-14 business days,81.57 USD,USD,+ Insurance 3.93 USD,3.93
"Torrance, CA",Saudi Arabia,RIYADH,11526,5,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,161.45 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,52.92 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,USPS: Priority,10-14 business days,74.69 USD,USD,+ Insurance 3.85 USD,3.85
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,DHL: Express Worldwide,1-6 business days,85.02 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,USPS: Express,10-14 business days,87.18 USD,USD,+ Insurance 4 USD,4.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,6,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,161.95 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,65.68 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,USPS: Priority,10-14 business days,79.88 USD,USD,+ Insurance 3.9 USD,3.9
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,DHL: Express Worldwide,1-6 business days,90 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,USPS: Express,10-14 business days,92.74 USD,USD,+ Insurance 4.06 USD,4.06
"Torrance, CA",Saudi Arabia,RIYADH,11526,7,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,189.11 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,71.56 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,USPS: Priority,10-14 business days,85.08 USD,USD,+ Insurance 3.96 USD,3.96
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,DHL: Express Worldwide,1-6 business days,94.61 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,USPS: Express,10-14 business days,98.34 USD,USD,+ Insurance 4.12 USD,4.12
"Torrance, CA",Saudi Arabia,RIYADH,11526,8,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,202.2 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,9,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,72.06 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,9,12,8,1,10,USPS: Priority,10-14 business days,90.27 USD,USD,+ Insurance 4.02 USD,4.02
"Torrance, CA",Saudi Arabia,RIYADH,11526,9,12,8,1,10,DHL: Express Worldwide,1-6 business days,99.08 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,9,12,8,1,10,USPS: Express,10-14 business days,103.85 USD,USD,+ Insurance 4.18 USD,4.18
"Torrance, CA",Saudi Arabia,RIYADH,11526,9,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,202.7 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,10,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,84.82 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,10,12,8,1,10,USPS: Priority,10-14 business days,95.4 USD,USD,+ Insurance 4.08 USD,4.08
"Torrance, CA",Saudi Arabia,RIYADH,11526,10,12,8,1,10,DHL: Express Worldwide,1-6 business days,102.16 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,10,12,8,1,10,USPS: Express,10-14 business days,109.44 USD,USD,+ Insurance 4.24 USD,4.24
"Torrance, CA",Saudi Arabia,RIYADH,11526,10,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,229.87 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,12,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,91.22 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,12,12,8,1,10,USPS: Priority,10-14 business days,105.77 USD,USD,+ Insurance 4.19 USD,4.19
"Torrance, CA",Saudi Arabia,RIYADH,11526,12,12,8,1,10,DHL: Express Worldwide,1-6 business days,112.2 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,12,12,8,1,10,USPS: Express,10-14 business days,120.75 USD,USD,+ Insurance 4.37 USD,4.37
"Torrance, CA",Saudi Arabia,RIYADH,11526,12,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,243.45 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,14,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,103.98 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,14,12,8,1,10,USPS: Priority,10-14 business days,116.13 USD,USD,+ Insurance 4.31 USD,4.31
"Torrance, CA",Saudi Arabia,RIYADH,11526,14,12,8,1,10,DHL: Express Worldwide,1-6 business days,122.27 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,14,12,8,1,10,USPS: Express,10-14 business days,131.9 USD,USD,+ Insurance 4.5 USD,4.5
"Torrance, CA",Saudi Arabia,RIYADH,11526,14,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,270.62 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,16,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,123.12 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,16,12,8,1,10,USPS: Priority,10-14 business days,126.5 USD,USD,+ Insurance 4.42 USD,4.42
"Torrance, CA",Saudi Arabia,RIYADH,11526,16,12,8,1,10,DHL: Express Worldwide,1-6 business days,132.33 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,16,12,8,1,10,USPS: Express,10-14 business days,143.05 USD,USD,+ Insurance 4.62 USD,4.62
"Torrance, CA",Saudi Arabia,RIYADH,11526,16,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,311.37 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,18,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,129.5 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,18,12,8,1,10,USPS: Priority,10-14 business days,136.89 USD,USD,+ Insurance 4.54 USD,4.54
"Torrance, CA",Saudi Arabia,RIYADH,11526,18,12,8,1,10,DHL: Express Worldwide,1-6 business days,142.38 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,18,12,8,1,10,USPS: Express,10-14 business days,154.16 USD,USD,+ Insurance 4.75 USD,4.75
"Torrance, CA",Saudi Arabia,RIYADH,11526,18,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,324.96 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,20,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,142.26 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,20,12,8,1,10,USPS: Priority,10-14 business days,147.19 USD,USD,+ Insurance 4.66 USD,4.66
"Torrance, CA",Saudi Arabia,RIYADH,11526,20,12,8,1,10,DHL: Express Worldwide,1-6 business days,152.44 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,20,12,8,1,10,USPS: Express,10-14 business days,165.3 USD,USD,+ Insurance 4.87 USD,4.87
"Torrance, CA",Saudi Arabia,RIYADH,11526,20,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,352.13 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,25,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,174.16 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,25,12,8,1,10,DHL: Express Worldwide,1-6 business days,174.34 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,25,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,420.05 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,25,12,8,1,10,USPS: Priority,10-14 business days,476.18 USD,USD,+ Insurance 8.57 USD,8.57
"Torrance, CA",Saudi Arabia,RIYADH,11526,25,12,8,1,10,USPS: Express,10-14 business days,576.08 USD,USD,+ Insurance 9.77 USD,9.77
"Torrance, CA",Saudi Arabia,RIYADH,11526,30,12,8,1,10,DHL: Express Worldwide,1-6 business days,196.23 USD,USD,Insurance Included,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,30,12,8,1,10,Aramex: Economy Parcel Express,8-12 business days,211.95 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,30,12,8,1,10,Aramex: Priority Parcel Express,6-12 business days,501.06 USD,USD,+ VAT & processing fee 14 USD,0.0
"Torrance, CA",Saudi Arabia,RIYADH,11526,30,12,8,1,10,USPS: Priority,10-14 business days,544.45 USD,USD,+ Insurance 9.37 USD,9.37
"Torrance, CA",Saudi Arabia,RIYADH,11526,30,12,8,1,10,USPS: Express,10-14 business days,655.42 USD,USD,+ Insurance 10.7 USD,10.7
